,ID,Charge,Pickup Lon,Pickup Lat,Dropoff Lon,Dropoff Lat,Passenger Count,Date Formatted Final,Temp (F),Humidity %,Description,Temp Summary
0,255755,14.5,-73.99991,40.718183,-73.977532,40.784513,2,1313809320,67.53,96,Mist,60-79
1,46313624,29.85,-73.885273,40.772765,-73.973114,40.758444,1,1242894757,64.0,44,Clear,60-79
2,18866625,3.7,-73.966533,40.754462,-73.97715699999998,40.758735,1,1283930365,71.89,78,Clear,60-79
3,1188000,4.1,-73.975705,40.748777,-73.97825999999998,40.741437,1,1276038660,66.36,47,Clouds,60-79
4,14914224,4.9,-73.99394000000002,40.74800000000001,-73.996426,40.739656,1,1271604370,52.29,46,Clouds,40-59
5,37983164,9.0,-73.974827,40.755297,0.0,0.0,1,1351711440,49.51,62,Clouds,40-59
6,2297962,7.0,-73.953875,40.775062,-73.96546500000002,40.758957,6,1363195320,48.87,41,Clouds,40-59
7,54137443,20.1,-73.958013,40.800931,-73.98874,40.731523,1,1242502065,68.29,81,Haze,60-79
8,53590931,6.9,-74.007212,40.741326,-73.99239,40.751686,1,1315007440,69.93,73,Clear,60-79
9,28289069,22.5,-73.97721999999997,40.72578,-73.95089,40.66982,3,1415497800,47.03,49,Clear,40-59
10,5268245,23.0,-73.974949,40.777627,-73.92373,40.761121,4,1393767145,37.27,44,Clouds,20-39
11,19708831,17.5,-73.985437,40.763825,-73.984685,40.76349,2,1315419300,68.31,91,Rain,60-79
12,23955097,6.5,-73.98003387451173,40.72239685058594,-73.9902572631836,40.714519500732415,1,1428277086,56.95,38,Clouds,40-59
13,39496330,4.9,-73.965992,40.789826,-73.967563,40.787779,2,1323172708,54.03,96,Rain,40-59
14,14644066,9.0,-73.985178,40.731612,-74.002099,40.723169,1,1361632750,37.44,93,Mist,20-39
15,14644066,9.0,-73.985178,40.731612,-74.002099,40.723169,1,1361632750,44.56,58,Clouds,40-59
16,20272151,8.5,-73.988277,40.731612,-73.989652,40.751835,1,1355630477,37.44,93,Mist,20-39
17,20272151,8.5,-73.988277,40.731612,-73.989652,40.751835,1,1355630477,44.56,58,Clouds,40-59
18,53449475,35.07,-73.98281800000002,40.760118,-73.885465,40.773102,5,1285060200,58.08,52,Clear,40-59
19,29675389,4.9,-73.987985,40.718927,-73.976935,40.722387,1,1235105940,27.32,38,Clouds,20-39
20,24398919,4.9,-73.955567,40.768202,-73.964348,40.767402,1,1264930500,16.5,47,Clear,0-19
21,12876078,11.0,-74.01647,40.705632,-73.997077,40.72266,6,1380270600,57.43,83,Clouds,40-59
22,34981453,7.7,-73.984278,40.75480200000001,-74.005672,40.742122,1,1239751620,43.18,87,Rain,40-59
23,28432919,11.0,-73.9905,40.712575,-73.99018000000002,40.712605,1,1407926400,69.8,89,Rain,60-79
24,3585401,5.7,-73.960392,40.76942,-73.951397,40.785702,1,1240481580,43.47,66,Clear,40-59
25,14130573,7.0,-73.97727900000002,40.758325,-73.967258,40.766173,2,1407494377,65.1,66,Clear,60-79
26,37716790,6.5,-74.009772,40.72087,-74.002012,40.724285,1,1334660460,70.32,49,Clear,60-79
27,4503953,5.7,-74.005009,40.74163400000001,-73.99169,40.735186,4,1262444398,27.25,58,Clouds,20-39
28,24803944,10.0,-73.99163,40.737692,-74.010778,40.72009600000001,1,1360887836,39.81,70,Clear,20-39
29,33676105,12.0,-73.970607,40.76759000000001,-74.008267,40.734125,5,1347289740,68.58,50,Clear,60-79
30,14491771,9.3,-73.978717,40.74093,-73.989231,40.76354,2,1341701629,78.39,67,Clouds,60-79
31,41163125,8.0,-73.987555,40.720037,-74.002297,40.729555,3,1361026680,35.6,69,Clouds,20-39
32,5554879,12.9,-73.98155,40.6652,-74.03074699999998,40.62511,2,1341101861,85.69,46,Clear,80-99
33,12771243,7.7,-73.98880600000003,40.731256,-73.98616899999998,40.751817,1,1312083961,79.0,53,Clear,60-79
34,18433108,13.3,-73.9481,40.7787,-73.9889,40.7339,1,1309022046,72.46,70,Clouds,60-79
35,16732941,9.3,-73.983262,40.771336,-73.985487,40.74013400000001,3,1245444951,75.9,62,Clouds,60-79
36,6575332,36.5,-73.87533499999998,40.773685,-73.98603299999998,40.663155,1,1348612320,69.19,54,Clouds,60-79
37,24150426,12.9,-73.988612,40.72273,-74.004205,40.742183,1,1315955280,73.9,67,Clouds,60-79
38,38574572,12.5,-73.97814699999998,40.772935,-73.977652,40.752348,3,1259171164,50.31,88,Mist,40-59
39,13088062,8.5,-73.98605,40.76023,-73.975462,40.745032,1,1292962260,37.35,46,Clear,20-39
40,35238422,7.7,-73.98230699999998,40.768465,-73.96984499999998,40.788086,1,1304338047,52.97,70,Clouds,40-59
41,6027309,9.0,-74.006354,40.744706,-73.984888,40.768615,2,1380659731,79.5,40,Clouds,60-79
42,32253704,6.5,-73.99436,40.666497,-73.991417,40.755527,1,1346241720,68.23,59,Clear,60-79
43,51635002,41.83,-73.98619000000002,40.757912,-73.86495500000002,40.770478,1,1393924490,14.34,45,Clear,0-19
44,50972008,24.5,-73.939705,40.751126,-73.975049,40.679907,1,1313755395,73.2,78,Clouds,60-79
45,46673679,4.5,-73.986302,40.740088,-73.978762,40.73444,1,1245540420,64.92,98,Mist,60-79
46,40536441,7.5,-74.00281,40.733575,-74.00988000000002,40.720767,1,1393702500,37.54,34,Clear,20-39
47,25132273,7.7,-73.99165500000002,40.750176,-74.010243,40.720043,1,1240762223,87.57,31,Clear,80-99
48,4144812,7.7,-73.978185,40.752447,-73.997813,40.754085,2,1343983200,76.91,82,Clear,60-79
49,51435997,6.9,-73.97625500000002,40.77645,-73.95609,40.771997,1,1298232540,36.84,33,Clear,20-39
50,4612532,3.3,-73.987452,40.724505,-73.98363499999998,40.725815,1,1287273720,56.73,47,Clear,40-59
51,54875470,4.5,-73.976812,40.754597,-73.98496,40.757243,5,1327347660,44.44,93,Rain,40-59
52,22680296,4.1,-73.97226500000002,40.786406,-73.979925,40.775789,1,1315771296,66.33,71,Clouds,60-79
53,32324453,9.7,-73.995693,40.722237,-73.964777,40.71045,1,1298496900,40.05,24,Clear,40-59
54,49159305,12.0,-73.999209,40.719966,-73.997602,40.69124,2,1397955696,59.47,27,Clear,40-59
55,4591954,8.0,-73.992515,40.745407,-73.976062,40.74893400000001,1,1380230407,66.72,64,Clouds,60-79
56,54929007,12.0,-73.99035,40.756052,-73.97574,40.756342,1,1369913340,74.61,72,Haze,60-79
57,3610450,11.0,-73.980722,40.748042,-73.95255999999998,40.77244,1,1391025960,22.06,28,Clear,20-39
58,5487188,17.0,-73.966766,40.804144,-73.989482,40.757589,1,1371765266,73.76,49,Clear,60-79
59,25196604,15.5,-73.989878,40.739302,-73.982562,40.771626,1,1414179892,62.6,51,Clouds,60-79
60,45746981,10.1,-73.968418,40.761413,-73.99261,40.730363,5,1290629460,48.13,26,Clear,40-59
61,7131326,6.9,-73.981474,40.73313,-73.976265,40.715822,1,1243794278,80.62,31,Clear,80-99
62,29377859,7.7,-73.97494499999998,40.750453,-73.953585,40.779513,0,1331673352,73.71,47,Clouds,60-79
63,18240476,4.9,-73.983283,40.73869000000001,-73.974549,40.751696,1,1344247287,75.24,91,Rain,60-79
64,18943948,3.3,-74.01466500000002,40.71308,-74.01466500000002,40.71308,2,1345175520,76.1,58,Clear,60-79
65,37304111,9.7,-73.978877,40.720184,-74.004385,40.741676,1,1337246372,57.4,65,Clouds,40-59
